"","TSS","strand","evidence","genename"
"rpsFp","4423048","forward","experimental","c(""rpsF"", "" priB"", "" rpsR"", "" rplI "")"
"rpsIp2","3376312","reverse","computitional","rpsI "
"rpsJp","3451464","reverse","experimental","c(""rpsQ"", "" rpmC"", "" rplP"", "" rpsC"", "" rplV"", "" rpsS"", "" rplB"", "" rplW"", "" rplD"", "" rplC"", "" rpsJ "")"
"rpsMp2","3440587","reverse","experimental","c(""rplQ"", "" rpoA"", "" rpsD"", "" rpsKЖ rpsM "")"
"rpsPp","2744276","reverse","experimental","c(""rplS"", "" trmD"", "" rimM"", "" rpsP "")"
"rpsUp1","3208668","forward","experimental","c(""rpsU"", "" dnaG"", "" rpoD "")"
"rpsUp2","3208734","forward","experimental","c(""rpsU"", "" dnaG"", "" rpoD "")"
"rpsUp3","3208757","forward","experimental","c(""rpsU"", "" dnaG"", "" rpoD "")"
"rraBp1","4476407","forward","experimental","rraB "
"rrsAp2","4033379","forward","computitional","c(""rrsA"", "" ileT"", "" alaT"", "" rrlA"", "" rrfA "")"
"rrsBp2","4164507","forward","experimental","c(""rrsB"", "" gltT"", "" rrlB"", "" rrfB "")"
"rrsCp2","3939656","forward","computitional","c(""rrsC"", "" gltU"", "" rrlC"", "" rrfC "")"
"rrsDp2","3426962","reverse","experimental","c(""rrfF"", "" thrV"", "" rrfD"", "" rrlD"", "" alaU"", "" ileU"", "" rrsD "")"
"rrsEp2","4205994","forward","computitional","c(""rrsE"", "" gltV"", "" rrlE"", "" rrfE "")"
"rrsGp2","2729354","reverse","computitional","c(""rrfG"", "" rrlG"", "" gltW"", "" rrsG "")"
"rrsHp2","223593","forward","experimental","c(""rrsH"", "" ileV"", "" alaV"", "" rrlH"", "" rrfH "")"
"rsdp2","4194882","reverse","experimental","rsd "
"rsgAp12","4389589","reverse","computitional","rsgA "
"rsmCp3","4605748","reverse","computitional","rsmC "
"rsmEp4","3089090","forward","computitional","c(""rsmE"", "" gshB "")"
"rsuAp2","2278567","reverse","computitional","rsuA "
"rtnp1","2268700","forward","computitional","rtn "
"rutRp2","1073336","forward","experimental","rutR "
"ruvBp3","1943476","reverse","computitional","ruvB "
"ruvCp","1945463","reverse","computitional","ruvC "
"rybAp8","852290","reverse","computitional","rybA "
"rydBp2","1762948","reverse","computitional","rydB "
"rydCp","1489530","reverse","experimental","rydC "
"ryfDp","2732317","reverse","experimental","ryfD "
"ryhBp","3579039","reverse","experimental","ryhB "
"ryjBp","4526000","forward","experimental","ryjB "
"safAp","1582052","reverse","experimental","c(""ydeO"", "" safA "")"
"sbcDp","416201","reverse","computitional","c(""sbcC"", "" sbcD "")"
"sdaCp","2926057","forward","computitional","c(""sdaC"", "" sdaB "")"
"sdhCp","754181","forward","experimental","c(""sdhC"", "" sdhD"", "" sdhA"", "" sdhB"", "" sucA"", "" sucB"", "" sucC"", "" sucD "")"
"sdhDp2","754627","forward","experimental","c(""sdhD"", "" sdhA"", "" sdhB "")"
"sdiAp6","1994875","reverse","computitional","sdiA "
"sdiAp7","1994921","reverse","computitional","sdiA "
"sdiAp8","1994934","reverse","computitional","sdiA "
"secGp1","3320609","reverse","experimental","c(""leuU"", "" secG "")"
"secGp2","3320612","reverse","experimental","c(""leuU"", "" secG "")"
"selBp5","3757948","reverse","computitional","selB "
"selUp4","530582","reverse","computitional","ybbB "
"selUp5","530586","reverse","computitional","ybbB "
"serAp1","3056478","reverse","experimental","serA "
"serAp2","3056571","reverse","experimental","serA "
"serCp","956818","forward","experimental","c(""serC"", "" aroA "")"
"serTp","1030942","reverse","experimental","serT "
"serUp","2041586","reverse","computitional","serU "
"serVp","2816719","reverse","computitional","c(""argQ"", "" argZ"", "" argY"", "" argV"", "" serV "")"
"serWp","925230","reverse","computitional","serW "
"serXp","1096899","reverse","computitional","serX "
"setBp2","2261735","forward","computitional","setB "
"setBp3","2261858","forward","computitional","setB "
"setCp10","3834791","forward","computitional","setC "
"setCp12","3834900","forward","computitional","setC "
"setCp13","3834861","forward","computitional","setC "
"sfmAp4","557285","forward","computitional","sfmA "
"sfmAp6","557389","forward","computitional","sfmA "
"sfmCp4","558030","forward","computitional","c(""sfmC"", "" sfmD "")"
"sfmCp5","558026","forward","computitional","c(""sfmC"", "" sfmD "")"
"sfsAp","161515","reverse","computitional","c(""dksA"", "" sfsA "")"
"sfsBp2","3332818","forward","computitional","sfsB "
"sfsBp3","3332877","forward","computitional","sfsB "
"sgrRp","77338","reverse","computitional","c(""thiQ"", "" thiP"", "" tbpA"", "" sroA"", "" sgrR "")"
"shiAp11","2051558","forward","computitional","shiA "
"sibAp","2151335","forward","experimental","sibA "
"sibEp","3193262","reverse","experimental","sibE "
"sirAp7","3607043","reverse","computitional","sirA "
"slpp","3651959","forward","experimental","c(""slp"", "" dctR "")"
"slyAp10","1719038","reverse","computitional","slyA "
"slyAp13","1718873","reverse","computitional","slyA "
"slyAp14","1718889","reverse","computitional","slyA "
"slyDp6","3476721","reverse","computitional","slyD "
"smpBp5","2752789","forward","computitional","smpB "
"smtAp","972627","forward","computitional","c(""smtA"", "" mukF"", "" mukE"", "" mukB "")"
"sodAp","4098782","forward","experimental","sodA "
"sodBp","1733347","forward","experimental","sodB "
"sohAp","3274994","forward","computitional","c(""sohA"", "" yhaV "")"
"sohBp2","1327325","forward","computitional","sohB "
"sokBp3","1490140","forward","computitional","sokB "
"soxRp","4275470","forward","experimental","soxR "
"soxSp","4275446","reverse","experimental","soxS "
"speAp","3084070","reverse","computitional","c(""speB"", "" speA "")"
"spfp","4047922","forward","experimental","spf "
"sppAp6","1846735","forward","computitional","sppA "
"spyp","1823712","reverse","experimental","spy "
"srlAp","2823813","forward","experimental","c(""srlA"", "" srlE"", "" srlB"", "" srlD"", "" gutM"", "" srlR"", "" gutQ "")"
"ssbp1","4272115","forward","experimental","ssb "
"ssbp2","4272103","forward","experimental","ssb "
"ssbp3","4272034","forward","experimental","ssb "
"ssrAp2","2753529","forward","computitional","ssrA "
"ssrSp1","3053996","forward","experimental","c(""ssrS"", "" ygfA "")"
"ssuBp3","993364","reverse","computitional","ssuB "
"ssuEp","996786","reverse","experimental","c(""ssuB"", "" ssuC"", "" ssuD"", "" ssuA"", "" ssuE "")"
"stpAp1","2796558","reverse","experimental","stpA "
"sufAp","1762442","reverse","experimental","c(""sufE"", "" sufS"", "" sufD"", "" sufC"", "" sufB"", "" sufA "")"
"sufEp3","1757505","reverse","computitional","sufE "
"sulAp","1020170","reverse","experimental","sulA "
"surEp2","2868708","reverse","experimental","c(""pcm"", "" surE "")"
"symEp","4577940","reverse","computitional","symE "
"symRp","4577858","forward","experimental","symR "
"tabAp4","4472857","forward","computitional","tabA "
"tasp4","2969591","forward","computitional","tas "
"tatAp1","4019932","forward","computitional","c(""tatA"", "" tatB"", "" tatC"", "" tatD "")"
"tatEp3","658094","forward","computitional","tatE "
"tdcGp2","3257848","reverse","computitional","tdcG "
"tdcRp4","3265243","forward","computitional","tdcR "
"tdcRp5","3265248","forward","computitional","tdcR "
"tdcRp6","3265212","forward","computitional","tdcR "
"tdcRp7","3265250","forward","computitional","tdcR "
"tdkp8","1292716","forward","computitional","tdk "
"thiQp2","73085","reverse","computitional","thiQ "
"thrUp","4173404","forward","computitional","c(""thrU"", "" tyrU"", "" glyT"", "" thrT"", "" tufB "")"
"thrWp","262065","forward","computitional","thrW "
"tigp","454218","forward","computitional","tig "
"tnaCp","3886434","forward","experimental","c(""tnaC"", "" tnaA"", "" tnaB "")"
"tolBp6","776760","forward","computitional","c(""tolB"", "" pal"", "" ybgF "")"
"tomBp1","480018","reverse","experimental","c(""hha"", "" tomB "")"
"tonBp","1309078","forward","experimental","tonB "
"topAp4","1328849","forward","experimental","topA "
"torCp","1057279","forward","experimental","c(""torC"", "" torA"", "" torD "")"
"torRp","1057207","reverse","experimental","torR "
"torSp5","1055405","reverse","computitional","torS "
"tppBp","1710695","forward","experimental","tppB "
"tprp1","1286233","reverse","computitional","tpr "
"tpxp","1386868","reverse","experimental","tpx "
"treBp","4464233","reverse","experimental","c(""treC"", "" treB "")"
"treRp1","4465294","reverse","experimental","treR "
"treRp2","4465298","reverse","experimental","treR "
"treRp3","4465314","reverse","experimental","treR "
"treRp4","4465370","reverse","experimental","treR "
"trkGp1","1421765","forward","computitional","trkG "
"trkGp7","1421695","forward","computitional","trkG "
"trkGp8","1421773","forward","computitional","trkG "
"trpAp4","1315327","reverse","computitional","trpA "
"trpAp5","1315330","reverse","computitional","trpA "
"trpCp","1317968","reverse","experimental","c(""trpA"", "" trpB"", "" trpC "")"
"trpLp","1321132","reverse","experimental","c(""trpA"", "" trpB"", "" trpC"", "" trpD"", "" trpE"", "" trpL "")"
"trpRp","4630727","forward","experimental","trpR "
"trpSp","3511719","reverse","experimental","trpS "
"trxAp1","3963670","forward","experimental","trxA "
"trxAp2","3963710","forward","experimental","trxA "
"trxCp","2716697","forward","experimental","trxC "
"tsrp1","4589435","forward","computitional","tsr "
"tsxp1","431469","reverse","experimental","tsx "
"tsxp2","431315","reverse","experimental","tsx "
"ttcAp5","1410009","reverse","computitional","ttcA "
"ttdAp","3204446","forward","computitional","c(""ttdA"", "" ttdB"", "" ttdT "")"
"tufAp1","3469746","reverse","experimental","tufA "
"tufAp2","3469605","reverse","experimental","tufA "
"tynAp","1449522","reverse","computitional","tynA "
"typAp6","4056403","forward","computitional","typA "
"tyrBp","4265105","forward","experimental","tyrB "
"tyrPp1","1987669","forward","experimental","tyrP "
"tyrRp","1384716","forward","experimental","tyrR "
"tyrTp","1286888","reverse","experimental","c(""tpr"", "" tyrV"", "" tyrT "")"
"ubiCp","4250466","forward","computitional","c(""ubiC"", "" ubiA "")"
"ubiDp8","4022832","forward","computitional","ubiD "
"ubiDp9","4022993","forward","computitional","ubiD "
"ubiEp2","4016774","forward","computitional","c(""ubiE"", "" yigP"", "" ubiB "")"
"ubiGp","2337561","forward","computitional","ubiG "
"udpP","4014414","forward","experimental","udp "
"ugdp9","2097759","reverse","computitional","ugd "
"ugpBp1","3590401","reverse","experimental","c(""ugpQ"", "" ugpC"", "" ugpE"", "" ugpA"", "" ugpB "")"
"ugpBp2","3590449","reverse","experimental","c(""ugpQ"", "" ugpC"", "" ugpE"", "" ugpA"", "" ugpB "")"
"uhpTp","3845221","reverse","experimental","uhpT "
"uidCp5","1691012","reverse","computitional","uidC "
"uidCp6","1691030","reverse","computitional","uidC "
"uidRp","1695099","reverse","computitional","uidR "
"ulaAp","4417950","forward","experimental","c(""ulaA"", "" ulaB"", "" ulaC"", "" ulaD"", "" ulaE"", "" ulaF "")"
"umuDp","1229961","forward","experimental","c(""umuD"", "" umuC "")"
"uppp","2618931","reverse","experimental","c(""uraA"", "" upp "")"
"ushAp6","504110","forward","computitional","ushA "
"uspAp1","3638006","forward","experimental","uspA "
"uspCp2","1977622","forward","computitional","uspC "
"uspCp4","1977692","forward","computitional","uspC "
"uspCp5","1977682","forward","computitional","uspC "
"uspCp6","1977643","forward","computitional","uspC "
"uspCp8","1977610","forward","computitional","uspC "
"uspCp9","1977615","forward","computitional","uspC "
"uvrAp","4271959","reverse","experimental","uvrA "
"uvrBp1","812716","forward","experimental","uvrB "
"uvrBp2","812685","forward","experimental","uvrB "
"uvrBp3","812375","forward","experimental","uvrB "
"uvrCp3","1992903","reverse","experimental","uvrC "
"uvrDp1","3995930","forward","experimental","uvrD "
"uvrYp2","1993430","reverse","experimental","c(""uvrC"", "" uvrY "")"
"uxaBp","1608744","reverse","experimental","uxaB "
"uxaBp2","1608761","reverse","computitional","uxaB "
"uxaCp","3242879","reverse","computitional","c(""uxaA"", "" uxaC "")"
"uxuAp","4549541","forward","experimental","c(""uxuA"", "" uxuB "")"
"uxuRp","4552481","forward","computitional","uxuR "
"valSp1","4481950","reverse","experimental","valS "
"valSp2","4481942","reverse","experimental","valS "
"valUp","2518946","forward","computitional","c(""valU"", "" valX"", "" valY"", "" lysV "")"
"valVp","1744439","forward","experimental","c(""valV"", "" valW "")"
"waaAp1","3806539","forward","experimental","c(""waaA"", "" coaD "")"
"waaAp2","3806279","forward","experimental","waaA "
"waaQp1","3806261","reverse","experimental","c(""waaK"", "" rfaZ"", "" waaY"", "" waaJ"", "" waaI"", "" waaB"", "" rfaS"", "" waaP"", "" waaG"", "" waaQ "")"
"waaUp5","3797447","reverse","computitional","waaK "
"waaUp6","3797519","reverse","computitional","waaK "
"waaUp8","3797521","reverse","computitional","waaK "
"wzap","2135607","reverse","experimental","c(""wcaB"", "" wcaA"", "" wzc"", "" wzb"", "" wza "")"
"wzxCp5","2118361","reverse","computitional","wzxC "
"xanPp4","3826942","forward","computitional","xanP "
"xanQp3","3022282","forward","computitional","c(""xanQ"", "" guaD"", "" ygfQ "")"
"xapRp1","2520527","reverse","experimental","xapR "
"xapRp2","2520585","reverse","experimental","xapR "
"xseAp","2632219","forward","computitional","xseA "
"xseBp","440597","reverse","computitional","c(""yajO"", "" dxs"", "" ispA"", "" xseB "")"
"yaaAp5","6615","reverse","computitional","yaaA "
"yaaIp2","11938","reverse","computitional","yaaI "
"yaaIp3","11913","reverse","computitional","yaaI "
"yaaIp4","11825","reverse","computitional","yaaI "
"yaaJp4","8017","reverse","computitional","yaaJ "
"yaaXp4","5030","forward","computitional","yaaX "
"yacCp","136940","reverse","experimental","c(""speD"", "" speE"", "" yacC "")"
"yacHp5","131466","reverse","computitional","yacH "
"yadDp3","146898","forward","computitional","yadD "
"yadNp7","157055","reverse","computitional","yadN "
"yadNp8","157031","reverse","computitional","yadN "
"yadSp5","177786","reverse","computitional","yadS "
"yadSp6","177700","reverse","computitional","yadS "
"yaeQp6","214195","forward","computitional","c(""yaeQ"", "" yaeJ"", "" nlpE "")"
"yaeRp3","211858","forward","computitional","yaeR "
"yafKp6","245993","reverse","computitional","yafK "
"yafLp6","246641","forward","computitional","yafL "
"yafMp8","247624","forward","computitional","yafM "
"yafNp","251969","forward","experimental","c(""yafN"", "" yafO"", "" yafP "")"
"yafSp2","234784","forward","computitional","yafS "
"yafTp4","237235","forward","computitional","yafT "
"yafTp5","237260","forward","computitional","yafT "
"yafTp6","237278","forward","computitional","yafT "
"yagEp3","281447","forward","computitional","c(""yagE"", "" yagF "")"
"yagEp8","281476","forward","computitional","c(""yagE"", "" yagF "")"
"yagGp6","284495","forward","computitional","c(""yagG"", "" yagH "")"
"yagGp7","284574","forward","computitional","c(""yagG"", "" yagH "")"
"yagIp1","288416","reverse","computitional","yagI "
"yagKp6","292342","reverse","computitional","yagK "
"yagLp7","293255","reverse","computitional","yagL "
"yagNp3","294884","reverse","computitional","yagN "
"yagNp5","294887","reverse","computitional","yagN "
"yagNp8","294880","reverse","computitional","yagN "
"yahAp1","331263","forward","experimental","yahA "
"yahAp2","331097","forward","experimental","yahA "
"yahCp5","334292","reverse","computitional","yahC "
"yahMp4","344476","forward","computitional","yahM "
"yaiIp6","404932","forward","computitional","yaiI "
"yaiOp4","380181","reverse","computitional","yaiO "
"yaiSp12","383925","reverse","computitional","yaiS "
"yaiSp14","384054","reverse","computitional","yaiS "
"yaiVp4","393685","forward","computitional","yaiV "
"yaiYp5","398684","reverse","computitional","yaiY "
"yaiYp6","398771","reverse","computitional","yaiY "
"yaiZp6","398668","forward","computitional","yaiZ "
"yajDp5","429754","forward","computitional","yajD "
"ybaNp6","490097","forward","computitional","ybaN "
"ybaNp8","490081","forward","computitional","ybaN "
"ybaOp","467576","forward","computitional","ybaO "
"ybaPp3","507486","reverse","computitional","ybaP "
"ybaPp4","507488","reverse","computitional","ybaP "
"ybaQp3","507398","forward","computitional","ybaQ "
"ybaVp3","462976","forward","computitional","ybaV "
"ybbLp6","515116","forward","computitional","c(""ybbL"", "" ybbM "")"
"ybbOp4","518553","reverse","computitional","ybbO "
"ybcIp5","555855","reverse","computitional","ybcI "
"ybcJp3","556190","reverse","computitional","ybcJ "
"ybcJp4","556114","reverse","computitional","ybcJ "
"ybcJp7","556248","reverse","computitional","ybcJ "
"ybcKp5","568033","forward","computitional","ybcK "
"ybcKp7","567974","forward","computitional","ybcK "
"ybcLp2","570070","forward","computitional","c(""ybcL"", "" ybcM "")"
"ybcLp7","570068","forward","computitional","c(""ybcL"", "" ybcM "")"
"ybcNp5","571542","forward","computitional","c(""ybcN"", "" ninE"", "" ybcO"", "" rusA"", "" ylcG "")"
"ybcWp7","579067","forward","computitional","ybcW "
"ybdHp7","632747","reverse","computitional","ybdH "
"ybdJp2","605628","reverse","computitional","ybdJ "
"ybdJp4","605446","reverse","computitional","ybdJ "
"ybdLp3","632780","forward","computitional","ybdL "
"ybdNp","635909","reverse","computitional","ybdN "
"ybdRp6","641145","forward","computitional","ybdR "
"ybeFp4","660683","reverse","computitional","ybeF "
"ybeFp5","660768","reverse","computitional","ybeF "
"ybeFp7","660609","reverse","computitional","ybeF "
"ybeQp11","675923","reverse","computitional","ybeQ "
"ybeQp12","675834","reverse","computitional","ybeQ "
"ybeQp5","675795","reverse","computitional","ybeQ "
"ybeQp8","675862","reverse","computitional","ybeQ "
"ybeRp5","675813","forward","computitional","c(""ybeR"", "" djlB "")"
"ybeRp6","675860","forward","computitional","c(""ybeR"", "" djlB "")"
"ybeTp8","678639","reverse","computitional","ybeT "
"ybeUp4","678685","forward","computitional","c(""ybeU"", "" djlC "")"
"ybgCp5","773932","forward","computitional","c(""ybgC"", "" tolQ"", "" tolR"", "" tolA "")"
"ybgOp3","748408","reverse","computitional","ybgO "
"ybgSp5","784596","reverse","computitional","ybgS "
"ybgSp7","784688","reverse","computitional","ybgS "
"ybhAp10","797760","reverse","computitional","ybhA "
"ybhAp6","797815","reverse","computitional","ybhA "
"ybhBp2","807258","reverse","computitional","ybhB "
"ybhDp2","799932","reverse","computitional","ybhD "
"ybhDp5","799843","reverse","computitional","ybhD "
"ybhHp7","799917","forward","computitional","ybhH "
"ybhMp7","820001","forward","computitional","ybhM "
"ybiOp2","844732","reverse","computitional","ybiO "
"ybiUp6","858329","reverse","computitional","ybiU "
"ybiUp7","858327","reverse","computitional","ybiU "
"ybiVp5","859311","reverse","computitional","ybiV "
"ybjCp","890115","forward","experimental","c(""ybjC"", "" nfsA"", "" rimK"", "" ybjN "")"
"ybjLp10","889164","reverse","computitional","ybjL "
"ybjLp12","889161","reverse","computitional","ybjL "
"ybjMp4","889163","forward","computitional","ybjM "
"ybjMp8","889108","forward","computitional","ybjM "
"ybjOp5","897170","forward","computitional","c(""ybjO"", "" rlmC "")"
"ybjSp3","906121","reverse","computitional","ybjS "
"ycaDp6","945062","forward","computitional","ycaD "
"ycaIp7","963461","forward","computitional","c(""ycaI"", "" msbA"", "" lpxK"", "" ycaQ "")"
"ycaKp3","948770","forward","computitional","ycaK "
"ycaKp5","948866","forward","computitional","ycaK "
"ycaLp6","959478","forward","computitional","ycaL "
"ycaLp9","959461","forward","computitional","ycaL "
"ycaMp2","946343","forward","computitional","ycaM "
"ycaMp3","946368","forward","computitional","ycaM "
"ycaMp4","946350","forward","computitional","ycaM "
"ycaMp5","946367","forward","computitional","ycaM "
"ycaRp","969865","forward","experimental","c(""ycaR"", "" kdsB "")"
"ycbWp4","1005113","forward","computitional","zapC "
"ycbWp6","1005073","forward","computitional","zapC "
"ycbZp4","1017683","reverse","computitional","ycbZ "
"yccAp","1030666","reverse","experimental","yccA "
"yccSp2","1023217","reverse","computitional","yccS "
"yccTp5","1027020","reverse","computitional","yccT "
"yccXp4","1029284","forward","computitional","yccX "
"yccXp5","1029203","forward","computitional","yccX "
"ycdTp","1092064","forward","experimental","ycdT "
"ycdZp4","1099475","forward","computitional","ycdZ "
"yceFp6","1145984","reverse","computitional","yceF "
"yceFp7","1145851","reverse","computitional","yceF "
"yceHp4","1125300","forward","computitional","yceH "
"yceOp8","1118846","reverse","computitional","yceO "
"yceQp6","1143603","forward","computitional","yceQ "
"ycfDp4","1187490","reverse","computitional","ycfD "
"ycfJp3","1166630","forward","computitional","ycfJ "
"ycfQp3","1168086","reverse","computitional","ycfQ "
"ycfSp","1169640","reverse","experimental","ycfS "
"ycgFp7","1214836","reverse","computitional","ycgF "
"ycgJp5","1225701","forward","computitional","ycgJ "
"ycgNp3","1228031","forward","computitional","ycgN "
"ycgNp5","1227973","forward","computitional","ycgN "
"ycgVp10","1255334","reverse","computitional","ycgV "
"ycgVp9","1255333","reverse","computitional","ycgV "
"ycgXp4","1212507","reverse","computitional","ycgX "
"ycgXp5","1212435","reverse","computitional","ycgX "
"ychFp","1257105","reverse","experimental","ychF "
"ychHp","1257961","forward","experimental","ychH "
"ychOp","1272983","forward","computitional","ychO "
"ychQp","1266122","forward","experimental","c(""ychQ"", "" ychA"", "" kdsA "")"
"yciCp","1311722","reverse","computitional","c(""yciB"", "" yciC "")"
"yciEp","1313420","reverse","computitional","yciE "
"yciEp2","1313421","reverse","computitional","yciE "
"yciNp10","1328713","reverse","computitional","yciN "
"yciNp11","1328814","reverse","computitional","yciN "
"yciNp5","1328827","reverse","computitional","yciN "
"yciUp4","1305383","reverse","computitional","yciU "
"yciUp6","1305373","reverse","computitional","yciU "
"ycjMp3","1368209","forward","computitional","c(""ycjM"", "" ycjN"", "" ycjO"", "" ycjP"", "" ycjQ"", "" ycjR"", "" ycjS"", "" ycjT"", "" ycjU"", "" ycjV"", "" ymjB "")"
"ycjWp2","1382015","reverse","computitional","ycjW "
"ydaEp5","1416243","reverse","computitional","ydaE "
"ydaSp2","1418301","forward","computitional","c(""ydaS"", "" ydaT"", "" ydaU"", "" ydaV"", "" ydaW"", "" rzpR "")"
"ydaSp4","1418284","forward","computitional","c(""ydaS"", "" ydaT"", "" ydaU"", "" ydaV"", "" ydaW"", "" rzpR "")"
"ydaSp6","1418367","forward","computitional","c(""ydaS"", "" ydaT"", "" ydaU"", "" ydaV"", "" ydaW"", "" rzpR "")"
"ydbCp1","1472212","forward","computitional","ydbC "
"ydbHp9","1440924","forward","computitional","c(""ydbH"", "" ynbE"", "" ydbL "")"
"ydbKp4","1438870","reverse","computitional","ydbK "
"ydcFp3","1485226","forward","computitional","ydcF "
"ydcIp4","1493141","reverse","computitional","ydcI "
"ydcJp10","1493157","forward","computitional","ydcJ "
"ydcJp11","1493178","forward","computitional","ydcJ "
"ydcLp1","1500393","forward","computitional","ydcL "
"ydcLp4","1500369","forward","computitional","ydcL "
"ydcLp5","1500470","forward","computitional","ydcL "
"ydcLp6","1500469","forward","computitional","ydcL "
"ydcNp5","1504178","forward","computitional","ydcN "
"ydcPp2","1504778","forward","computitional","ydcP "
"ydcSp7","1509539","forward","computitional","c(""ydcS"", "" ydcT"", "" ydcU"", "" ydcV "")"
"ydcSp9","1509477","forward","computitional","c(""ydcS"", "" ydcT"", "" ydcU"", "" ydcV "")"
"ydcXp7","1515260","forward","computitional","ydcX "
"ydcYp3","1515634","forward","computitional","ydcY "
"yddJp5","1542849","reverse","computitional","yddJ "
"yddJp6","1542875","reverse","computitional","yddJ "
"yddWp6","1566876","reverse","computitional","yddW "
"ydeEp1","1619328","forward","computitional","ydeE "
"ydeEp4","1619288","forward","computitional","ydeE "
"ydeHp","1621903","reverse","experimental","ydeH "
"ydeIp5","1622583","reverse","computitional","ydeI "
"ydeIp6","1622567","reverse","computitional","ydeI "
"ydeJp","1622712","forward","computitional","ydeJ "
"ydeNp3","1580753","reverse","computitional","ydeN "
"ydeNp7","1580579","reverse","computitional","ydeN "
"ydePp","1584688","reverse","experimental","ydeP "
"ydfAp8","1646460","forward","computitional","c(""ydfA"", "" ydfB"", "" rzpQ "")"
"ydgCp3","1680086","reverse","computitional","ydgC "
"ydgJp6","1702423","reverse","computitional","ydgJ "
"ydhCp5","1737873","forward","computitional","ydhC "
"ydhCp6","1737902","forward","computitional","ydhC "
"ydhFp3","1723679","reverse","computitional","ydhF "
"ydhLp3","1723956","reverse","computitional","ydhL "
"ydhOp","1732381","forward","computitional","ydhO "
"ydhZp5","1753191","reverse","computitional","ydhZ "
"ydiEp5","1787627","forward","computitional","ydiE "
"ydiHp3","1763171","reverse","computitional","ydiH "
"ydiNp6","1770433","forward","computitional","c(""ydiN"", "" ydiB"", "" aroD "")"
"ydiYp11","1804274","reverse","computitional","ydiY "
"ydiYp12","1804194","reverse","computitional","ydiY "
"ydjEp6","1852065","reverse","computitional","ydjE "
"ydjFp7","1852910","reverse","computitional","ydjF "
"ydjMp","1808194","forward","computitional","ydjM "
"ydjOp10","1811279","reverse","computitional","ydjO "
"ydjOp7","1811212","reverse","computitional","ydjO "
"ydjOp9","1811177","reverse","computitional","ydjO "
"yeaEp","1863748","reverse","computitional","yeaE "
"yeaIp5","1868388","forward","computitional","yeaI "
"yeaJp6","1869961","forward","computitional","yeaJ "
"yeaMp6","1873622","reverse","computitional","yeaM "
"yeaNp9","1873672","forward","computitional","yeaN "
"yeaOp3","1874846","forward","computitional","yeaO "
"yeaPp3","1875690","forward","computitional","yeaP "
"yeaRp","1878018","reverse","experimental","c(""yoaG"", "" yeaR "")"
"yebBp1","1944134","forward","computitional","yebB "
"yebCp","1946209","reverse","computitional","c(""ruvC"", "" yebC "")"
"yebEp","1927756","reverse","experimental","yebE "
"yebGp","1928789","reverse","computitional","yebG "
"yebKp2","1934614","forward","computitional","yebK "
"yebQp4","1908181","forward","computitional","yebQ "
"yebQp5","1908183","forward","computitional","yebQ "
"yebSp5","1914143","forward","computitional","c(""yebS"", "" yebT "")"
"yebSp6","1914205","forward","computitional","c(""yebS"", "" yebT "")"
"yebVp6","1919749","forward","computitional","yebV "
"yebWp6","1920108","forward","computitional","yebW "
"yecDp7","1948784","forward","computitional","c(""yecD"", "" yecE "")"
"yecDp8","1948660","forward","computitional","c(""yecD"", "" yecE "")"
"yecHp3","1987588","reverse","computitional","yecH "
"yecMp2","1958008","reverse","computitional","yecM "
"yecMp3","1957896","reverse","computitional","yecM "
"yecTp3","1959955","forward","computitional","yecT "
"yedDp5","2006285","reverse","computitional","yedD "
"yedIp2","2027485","reverse","computitional","yedI "
"yedIp3","2027394","reverse","computitional","yedI "
"yedJp4","2031247","reverse","computitional","yedJ "
"yeeNp4","2054816","forward","computitional","yeeN "
"yeeNp7","2054778","forward","computitional","yeeN "
"yeeOp7","2057746","reverse","computitional","yeeO "
"yeeXp4","2077441","reverse","computitional","yeeX "
"yeeZp5","2087235","reverse","computitional","yeeZ "
"yefMp","2087757","reverse","experimental","c(""yoeB"", "" yefM "")"
"yegDp2","2145668","forward","computitional","yegD "
"yegIp7","2149101","reverse","computitional","yegI "
"yegIp8","2149023","reverse","computitional","yegI "
"yegIp9","2149100","reverse","computitional","yegI "
"yegJp7","2149040","forward","computitional","yegJ "
"yegJp8","2149075","forward","computitional","yegJ "
"yegRp","2166373","reverse","experimental","c(""yegZ"", "" yegR "")"
"yegSp6","2166567","forward","computitional","yegS "
"yegSp7","2166589","forward","computitional","yegS "
"yehAp6","2186494","reverse","computitional","yehA "
"yehEp7","2190902","reverse","computitional","yehE "
"yehKp1","2201806","forward","computitional","yehK "
"yehLp3","2202424","forward","computitional","c(""yehL"", "" yehM"", "" yehP"", "" yehQ "")"
"yeiEp6","2247678","reverse","computitional","yeiE "
"yeiEp7","2247660","reverse","computitional","yeiE "
"yeiGp6","2241910","forward","computitional","yeiG "
"yeiHp7","2247688","forward","computitional","yeiH "
"yeiQp6","2264236","forward","computitional","yeiQ "
"yeiTp","2232011","forward","experimental","c(""preT"", "" preA "")"
"yeiWp6","2263442","reverse","computitional","yeiW "
"yejAp","2270334","forward","computitional","c(""yejA"", "" yejB"", "" yejE"", "" yejF "")"
"yfaEp1","2346363","forward","computitional","yfaE "
"yfaLp7","2342306","reverse","computitional","yfaL "
"yfaLp8","2342229","reverse","computitional","yfaL "
"yfaZp4","2362394","reverse","computitional","yfaZ "
"yfaZp5","2362339","reverse","computitional","yfaZ "
